entry_time,exit_time,entry,tp_price,sl_price,exit,result,exit_reason,duration,duration_minutes,pnl
2025-09-20 05:00:00,2025-09-20 05:15:00,115452.4231,115669.87,115393.22,115393.22,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-20 05:15:00,2025-09-20 06:45:00,115434.92674000001,115669.87,115370.96,115370.96,Loss,SL,0 days 01:30:00,90.0,-100.0
2025-09-20 06:45:00,2025-09-20 07:00:00,115434.92674000001,115669.87,115370.96,115370.96,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-20 13:15:00,2025-09-20 17:45:00,115671.06732,115914.24,115604.86,115914.24,Win,TP,0 days 04:30:00,270.00000000000006,367.2897196261658
2025-09-20 19:15:00,2025-09-20 20:15:00,115860.57858,116059.02,115806.55,115806.55,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-20 21:30:00,2025-09-20 22:45:00,115717.98902,116017.4,115636.47,115636.47,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-20 23:15:00,2025-09-21 02:30:00,115650.21266,115743.11,115624.92,115624.92,Loss,SL,0 days 03:15:00,195.0,-100.0
2025-09-21 02:30:00,2025-09-21 02:45:00,115647.56548,115730.74,115624.92,115624.92,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-21 03:15:00,2025-09-21 03:30:00,115634.75758,115670.89,115624.92,115624.92,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-21 03:30:00,2025-09-21 04:45:00,115523.01196,115670.89,115482.75,115482.75,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-21 05:15:00,2025-09-21 09:00:00,115448.18476,115670.89,115387.55,115670.89,Win,TP,0 days 03:45:00,225.0,367.2897196261561
2025-09-21 11:00:00,2025-09-21 11:15:00,115603.7101,115778.32,115556.17,115556.17,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-21 12:30:00,2025-09-21 19:30:00,115383.70083999999,115778.32,115276.26,115276.26,Loss,SL,0 days 07:00:00,420.0,-100.0
2025-09-21 19:45:00,2025-09-21 20:45:00,115242.83218,115557.13,115157.26,115557.13,Win,TP,0 days 01:00:00,60.0,367.28971962616424
2025-09-21 22:00:00,2025-09-22 00:00:00,115342.12385999999,115620.36,115266.37,115266.37,Loss,SL,0 days 02:00:00,120.0,-100.0
2025-09-22 01:00:00,2025-09-22 01:15:00,115257.32338,115536.88,115181.21,115181.21,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-22 01:30:00,2025-09-22 03:00:00,115222.69222,115536.88,115137.15,115137.15,Loss,SL,0 days 01:30:00,90.0,-100.00000000000001
2025-09-22 03:00:00,2025-09-22 03:15:00,115181.47368,115344.27,115137.15,115137.15,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-22 03:15:00,2025-09-22 03:30:00,115181.47368,115344.27,115137.15,115137.15,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-22 03:45:00,2025-09-22 04:45:00,114457.53624,115344.27,114216.11,114216.11,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-22 04:45:00,2025-09-22 05:00:00,114457.53624,115344.27,114216.11,114216.11,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-22 05:30:00,2025-09-22 08:45:00,114344.99676,115344.27,114072.93,114072.93,Loss,SL,0 days 03:15:00,195.0,-100.0
2025-09-22 08:45:00,2025-09-22 09:00:00,114186.66458,114604.4,114072.93,114072.93,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-22 09:00:00,2025-09-23 06:00:00,112219.33016,114604.4,111569.96,111569.96,Loss,SL,0 days 21:00:00,1260.0,-100.0
2025-09-23 06:00:00,2025-09-23 08:30:00,111714.58186,112807.9,111416.91,112807.9,Win,TP,0 days 02:30:00,150.0,367.2897196261617
2025-09-23 14:00:00,2025-09-23 17:00:00,112762.13936,113235.5,112633.26,113235.5,Win,TP,0 days 03:00:00,180.0,367.2897196261495
2025-09-23 17:15:00,2025-09-23 17:30:00,112791.4008,113249.01,112666.81,112666.81,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-23 19:00:00,2025-09-23 20:15:00,112559.32324,113022.01,112433.35,112433.35,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-23 23:45:00,2025-09-24 07:00:00,111737.22794,112927.79,111413.08,111413.08,Loss,SL,0 days 07:15:00,435.0,-100.0
2025-09-24 07:00:00,2025-09-24 08:45:00,111286.47404,112466.15,110965.29,112466.15,Win,TP,0 days 01:45:00,105.0,367.28971962615765
2025-09-24 11:15:00,2025-09-24 12:30:00,112428.01934,112695.11,112355.3,112695.11,Win,TP,0 days 01:15:00,75.0,367.2897196261907
2025-09-24 16:45:00,2025-09-24 17:30:00,112848.97336,113177.71,112759.47,113177.71,Win,TP,0 days 00:45:00,45.0,367.28971962616134
2025-09-24 19:00:00,2025-09-24 20:00:00,113265.62628,113849.64,113106.62,113849.64,Win,TP,0 days 01:00:00,60.0,367.2897196261666
2025-09-24 20:00:00,2025-09-24 20:30:00,113690.63372,113106.62,113849.64,113849.64,Loss,SL,0 days 00:30:00,30.0,-100.0
2025-09-24 20:30:00,2025-09-25 03:15:00,113726.54606,113106.62,113895.33,113106.62,Win,TP,0 days 06:45:00,405.0,367.28971962614867
2025-09-25 05:30:00,2025-09-25 06:15:00,112977.64584,112379.94,113140.38,112379.94,Win,TP,0 days 00:45:00,45.0,367.28971962614884
2025-09-25 08:15:00,2025-09-25 09:15:00,111896.3968,111539.71,111993.51,111539.71,Win,TP,0 days 01:00:00,60.0,367.28971962619227
2025-09-25 11:00:00,2025-09-25 12:15:00,111864.03786,111388.5,111993.51,111993.51,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-25 12:15:00,2025-09-25 12:45:00,112092.43106,111635.6,112216.81,111635.6,Win,TP,0 days 00:30:00,30.0,367.2897196261802
2025-09-25 17:15:00,2025-09-25 20:00:00,111444.16098,110570.97,111681.9,110570.97,Win,TP,0 days 02:45:00,165.0,367.2897196261778
2025-09-25 22:15:00,2025-09-26 14:15:00,109636.54994,108573.65,109925.94,108573.65,Win,TP,0 days 16:00:00,960.0,367.2897196261627
2025-09-26 15:30:00,2025-09-26 16:30:00,109325.48767999999,108565.52,109532.4,109532.4,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-26 16:30:00,2025-09-26 16:45:00,109325.48767999999,108565.52,109532.4,109532.4,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-26 19:15:00,2025-09-26 20:15:00,109393.17416000001,108721.49,109576.05,109576.05,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-26 20:15:00,2025-09-26 21:15:00,109697.92208,108721.49,109963.77,109963.77,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-27 18:45:00,2025-09-27 21:00:00,109332.73988,109144.43,109384.01,109384.01,Loss,SL,0 days 02:15:00,135.00000000000003,-100.0
2025-09-27 21:00:00,2025-09-27 21:45:00,109341.9804,109187.61,109384.01,109384.01,Loss,SL,0 days 00:45:00,45.0,-100.00000000000001
2025-09-27 21:45:00,2025-09-28 01:00:00,109352.26127999999,109187.61,109397.09,109397.09,Loss,SL,0 days 03:15:00,195.0,-100.0
2025-09-28 01:15:00,2025-09-28 03:15:00,109578.62174,109304.63,109653.22,109653.22,Loss,SL,0 days 02:00:00,120.0,-100.0
2025-09-28 03:15:00,2025-09-28 04:30:00,109674.24534,109398.21,109749.4,109398.21,Win,TP,0 days 01:15:00,75.0,367.28971962615105
2025-09-28 05:30:00,2025-09-28 09:15:00,109451.06516,109283.6,109496.66,109283.6,Win,TP,0 days 03:45:00,225.0,367.2897196261098
2025-09-28 09:30:00,2025-09-28 10:15:00,109392.89682,109203.18,109444.55,109444.55,Loss,SL,0 days 00:45:00,45.0,-100.0
2025-09-28 10:15:00,2025-09-28 10:30:00,109392.89682,109203.18,109444.55,109444.55,Loss,SL,0 days 00:15:00,15.0,-100.0
